carrier_name,warehouse_name,total_shipment_cost
" Carrier A","Warehouse A",766.94
" Carrier A","Warehouse C",651.17
" Carrier A","Warehouse J",644.48
" Carrier A","Warehouse I",636.09
" Carrier A","Warehouse E",621.16
" Carrier A","Warehouse F",593.81
" Carrier A","Warehouse B",592.29
" Carrier A","Warehouse G",582.44
" Carrier A","Warehouse D",577.30
" Carrier A","Warehouse H",567.60
" Carrier B","Warehouse E",873.15
" Carrier B","Warehouse B",776.82
" Carrier B","Warehouse D",693.57
" Carrier B","Warehouse C",689.40
" Carrier B","Warehouse G",639.36
" Carrier B","Warehouse F",635.94
" Carrier B","Warehouse J",614.03
" Carrier B","Warehouse A",583.40
" Carrier B","Warehouse I",556.22
" Carrier B","Warehouse H",477.01
" Carrier T","Warehouse H",936.77
" Carrier T","Warehouse G",843.00
" Carrier T","Warehouse F",821.29
" Carrier T","Warehouse A",737.19
" Carrier T","Warehouse B",725.08
" Carrier T","Warehouse J",692.98
" Carrier T","Warehouse D",670.94
" Carrier T","Warehouse C",649.02
" Carrier T","Warehouse I",637.81
" Carrier T","Warehouse E",464.61
